time,crd,vel,ekin,epot,etotal,coff_0,coff_1,prob,random,state
144.000,-2.91211916,0.01449685,0.21015863,-0.00990305,0.20025557,1.00000000,0.00000000,0.00000000,0.17587372,0
145.000,-2.89762235,0.01449677,0.21015641,-0.00990078,0.20025563,1.00000000,0.00000000,0.00000000,0.64776749,0
146.000,-2.88312562,0.01449669,0.21015413,-0.00989845,0.20025568,1.00000000,0.00000000,0.00000000,0.34243369,0
147.000,-2.86862896,0.01449661,0.21015180,-0.00989607,0.20025573,1.00000000,0.00000000,0.00000000,0.38485905,0
148.000,-2.85413239,0.01449653,0.21014942,-0.00989363,0.20025579,1.00000000,0.00000000,0.00000000,0.06437044,0
149.000,-2.83963590,0.01449645,0.21014698,-0.00989113,0.20025585,0.99999999,0.00000001,0.00000000,0.53814572,0
150.000,-2.82513949,0.01449636,0.21014448,-0.00988858,0.20025590,0.99999999,0.00000001,0.00000000,0.97616768,0
151.000,-2.81064318,0.01449627,0.21014193,-0.00988597,0.20025596,0.99999999,0.00000001,0.00000000,0.53122458,0
152.000,-2.79614695,0.01449618,0.21013931,-0.00988329,0.20025603,0.99999999,0.00000001,0.00000000,0.16258871,0
153.000,-2.78165081,0.01449609,0.21013664,-0.00988055,0.20025609,0.99999999,0.00000001,0.00000000,0.63012436,0
154.000,-2.76715477,0.01449600,0.21013390,-0.00987775,0.20025615,0.99999999,0.00000001,0.00000000,0.58660262,0
155.000,-2.75265882,0.01449590,0.21013110,-0.00987488,0.20025622,0.99999999,0.00000001,0.00000000,0.68279271,0
156.000,-2.73816297,0.01449580,0.21012823,-0.00987194,0.20025628,0.99999998,0.00000002,0.00000000,0.16379230,0
157.000,-2.72366722,0.01449570,0.21012529,-0.00986894,0.20025635,0.99999998,0.00000002,0.00000000,0.38213885,0
158.000,-2.70917157,0.01449560,0.21012229,-0.00986586,0.20025642,0.99999998,0.00000002,0.00000000,0.92225277,0
159.000,-2.69467603,0.01449549,0.21011921,-0.00986272,0.20025650,0.99999997,0.00000003,0.00000000,0.71993914,0
160.000,-2.68018059,0.01449538,0.21011607,-0.00985950,0.20025657,0.99999997,0.00000003,0.00000000,0.60454974,0
161.000,-2.66568527,0.01449527,0.21011284,-0.00985620,0.20025665,0.99999996,0.00000004,0.00000000,0.56944265,0
162.000,-2.65119005,0.01449516,0.21010955,-0.00985283,0.20025672,0.99999996,0.00000004,0.00000000,0.32827101,0
163.000,-2.63669495,0.01449504,0.21010617,-0.00984937,0.20025680,0.99999995,0.00000005,0.00000000,0.12967112,0
164.000,-2.62219997,0.01449492,0.21010272,-0.00984584,0.20025688,0.99999994,0.00000006,0.00000000,0.64404286,0
165.000,-2.60770511,0.01449480,0.21009919,-0.00984222,0.20025696,0.99999993,0.00000007,0.00000000,0.39562654,0
166.000,-2.59321038,0.01449467,0.21009557,-0.00983852,0.20025705,0.99999992,0.00000008,0.00000000,0.29061480,0
167.000,-2.57871576,0.01449455,0.21009187,-0.00983473,0.20025714,0.99999990,0.00000010,0.00000000,0.93326276,0
168.000,-2.56422128,0.01449442,0.21008808,-0.00983085,0.20025722,0.99999989,0.00000011,0.00000000,0.88840085,0
169.000,-2.54972693,0.01449428,0.21008420,-0.00982689,0.20025732,0.99999987,0.00000013,0.00000000,0.58624270,0
